id,name,lat,lon,address,size,district,pop_time_Monday_0,pop_time_Monday_1,pop_time_Monday_2,pop_time_Monday_3,pop_time_Monday_4,pop_time_Monday_5,pop_time_Monday_6,pop_time_Monday_7,pop_time_Monday_8,pop_time_Monday_9,pop_time_Monday_10,pop_time_Monday_11,pop_time_Monday_12,pop_time_Monday_13,pop_time_Monday_14,pop_time_Monday_15,pop_time_Monday_16,pop_time_Monday_17,pop_time_Monday_18,pop_time_Monday_19,pop_time_Monday_20,pop_time_Monday_21,pop_time_Monday_22,pop_time_Monday_23,pop_time_Tuesday_0,pop_time_Tuesday_1,pop_time_Tuesday_2,pop_time_Tuesday_3,pop_time_Tuesday_4,pop_time_Tuesday_5,pop_time_Tuesday_6,pop_time_Tuesday_7,pop_time_Tuesday_8,pop_time_Tuesday_9,pop_time_Tuesday_10,pop_time_Tuesday_11,pop_time_Tuesday_12,pop_time_Tuesday_13,pop_time_Tuesday_14,pop_time_Tuesday_15,pop_time_Tuesday_16,pop_time_Tuesday_17,pop_time_Tuesday_18,pop_time_Tuesday_19,pop_time_Tuesday_20,pop_time_Tuesday_21,pop_time_Tuesday_22,pop_time_Tuesday_23,pop_time_Wednesday_0,pop_time_Wednesday_1,pop_time_Wednesday_2,pop_time_Wednesday_3,pop_time_Wednesday_4,pop_time_Wednesday_5,pop_time_Wednesday_6,pop_time_Wednesday_7,pop_time_Wednesday_8,pop_time_Wednesday_9,pop_time_Wednesday_10,pop_time_Wednesday_11,pop_time_Wednesday_12,pop_time_Wednesday_13,pop_time_Wednesday_14,pop_time_Wednesday_15,pop_time_Wednesday_16,pop_time_Wednesday_17,pop_time_Wednesday_18,pop_time_Wednesday_19,pop_time_Wednesday_20,pop_time_Wednesday_21,pop_time_Wednesday_22,pop_time_Wednesday_23,pop_time_Thursday_0,pop_time_Thursday_1,pop_time_Thursday_2,pop_time_Thursday_3,pop_time_Thursday_4,pop_time_Thursday_5,pop_time_Thursday_6,pop_time_Thursday_7,pop_time_Thursday_8,pop_time_Thursday_9,pop_time_Thursday_10,pop_time_Thursday_11,pop_time_Thursday_12,pop_time_Thursday_13,pop_time_Thursday_14,pop_time_Thursday_15,pop_time_Thursday_16,pop_time_Thursday_17,pop_time_Thursday_18,pop_time_Thursday_19,pop_time_Thursday_20,pop_time_Thursday_21,pop_time_Thursday_22,pop_time_Thursday_23,pop_time_Friday_0,pop_time_Friday_1,pop_time_Friday_2,pop_time_Friday_3,pop_time_Friday_4,pop_time_Friday_5,pop_time_Friday_6,pop_time_Friday_7,pop_time_Friday_8,pop_time_Friday_9,pop_time_Friday_10,pop_time_Friday_11,pop_time_Friday_12,pop_time_Friday_13,pop_time_Friday_14,pop_time_Friday_15,pop_time_Friday_16,pop_time_Friday_17,pop_time_Friday_18,pop_time_Friday_19,pop_time_Friday_20,pop_time_Friday_21,pop_time_Friday_22,pop_time_Friday_23,pop_time_Saturday_0,pop_time_Saturday_1,pop_time_Saturday_2,pop_time_Saturday_3,pop_time_Saturday_4,pop_time_Saturday_5,pop_time_Saturday_6,pop_time_Saturday_7,pop_time_Saturday_8,pop_time_Saturday_9,pop_time_Saturday_10,pop_time_Saturday_11,pop_time_Saturday_12,pop_time_Saturday_13,pop_time_Saturday_14,pop_time_Saturday_15,pop_time_Saturday_16,pop_time_Saturday_17,pop_time_Saturday_18,pop_time_Saturday_19,pop_time_Saturday_20,pop_time_Saturday_21,pop_time_Saturday_22,pop_time_Saturday_23,pop_time_Sunday_0,pop_time_Sunday_1,pop_time_Sunday_2,pop_time_Sunday_3,pop_time_Sunday_4,pop_time_Sunday_5,pop_time_Sunday_6,pop_time_Sunday_7,pop_time_Sunday_8,pop_time_Sunday_9,pop_time_Sunday_10,pop_time_Sunday_11,pop_time_Sunday_12,pop_time_Sunday_13,pop_time_Sunday_14,pop_time_Sunday_15,pop_time_Sunday_16,pop_time_Sunday_17,pop_time_Sunday_18,pop_time_Sunday_19,pop_time_Sunday_20,pop_time_Sunday_21,pop_time_Sunday_22,pop_time_Sunday_23
ChIJB5ih3hRYzpQR_K5egvrdtdE,Supermercado Da Praça,-23.5325903,-46.6521965,"Alameda Eduardo Prado, 795 - Barra Funda, São Paulo - SP, 01208-010, Brazil",medio,barra funda,0,0,0,0,0,0,0,0,7,21,38,43,35,30,34,41,45,48,66,97,74,26,0,0,0,0,0,0,0,0,0,0,10,21,36,47,50,50,53,62,68,75,85,80,53,23,0,0,0,0,0,0,0,0,0,0,25,39,46,43,36,33,37,45,51,59,70,75,62,36,0,0,0,0,0,0,0,0,0,0,11,25,35,33,26,27,34,42,45,51,70,88,74,37,0,0,0,0,0,0,0,0,0,0,12,21,29,32,29,24,27,43,64,77,71,82,100,48,0,0,0,0,0,0,0,0,0,0,7,15,28,45,61,73,76,69,58,57,68,74,57,29,0,0,0,0,0,0,0,0,0,0,5,19,44,66,69,50,0,0,0,0,0,0,0,0,0,0
ChIJ0ct7ABVYzpQRWa7G1KWREPE,Mini Mercado Extra,-23.5332447,-46.65369029999999,"R. Brg. Galvão, 118 - Santa Cecilia, São Paulo - SP, 01401-901, Brazil",pequeno,barra funda,0,0,0,0,0,0,0,18,39,46,40,36,43,50,50,45,46,59,76,80,0,0,0,0,0,0,0,0,0,0,0,31,51,45,33,35,45,52,53,51,53,60,64,59,0,0,0,0,0,0,0,0,0,0,0,9,16,25,33,40,43,43,40,36,38,55,82,92,0,0,0,0,0,0,0,0,0,0,0,13,25,37,47,53,53,48,42,41,50,65,79,80,0,0,0,0,0,0,0,0,0,0,0,17,30,42,52,60,65,67,69,70,73,81,90,86,0,0,0,0,0,0,0,0,0,0,0,13,24,38,54,70,85,95,100,96,84,69,61,86,0,0,0,0,0,0,0,0,0,0,0,0,10,23,41,60,73,77,70,56,62,86,0,0,0,0,0,0
ChIJ9TKuyA1YzpQRNQJv7QH0zDo,Mini Mercado Taiuva,-23.5249108,-46.6551179,"R. Dr. Ribeiro de Almeida, 365 - Barra Funda, São Paulo - SP, 01137-020, Brazil",pequeno,barra funda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,45,60,62,62,62,60,50,37,32,40,42,25,7,0,0,0,0,0,0,0,0,0,0,22,45,47,37,35,42,52,52,45,35,45,70,50,12,0,0,0,0,0,0,0,0,0,0,67,87,32,42,60,70,70,60,45,30,30,55,57,25,0,0,0,0,0,0,0,0,0,0,50,95,62,40,47,55,52,47,42,50,67,67,47,20,0,0,0,0,0,0,0,0,0,0,27,52,52,40,47,70,77,65,50,47,55,50,32,0,0,0,0,0,0,0,0,0,0,0,0,25,50,75,95,100,95,82,67,50,0,0,0,0,0,0,0
ChIJywkB6gZYzpQR4e3pNNy54bY,Kuchos Atacado e Varejo,-23.52377229999999,-46.6644532,"Rua Quirino dos Santos, 122 - Várzea da Barra Funda, São Paulo - SP, 01141-020, Brazil",grande,barra funda,0,0,0,0,0,0,0,48,66,37,26,45,67,71,58,46,42,39,30,0,0,0,0,0,0,0,0,0,0,0,0,61,67,34,47,64,74,75,70,61,50,37,24,0,0,0,0,0,0,0,0,0,0,0,0,63,62,31,37,51,65,73,75,70,59,45,31,0,0,0,0,0,0,0,0,0,0,0,0,58,85,50,37,59,83,91,83,68,57,47,35,0,0,0,0,0,0,0,0,0,0,0,0,80,79,45,34,56,86,100,91,79,74,70,56,0,0,0,0,0,0,0,0,0,0,0,0,0,27,42,38,42,50,54,54,50,42,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJuzypcAH4zpQRXsIGlmkHslU,Assaí Supermarket Wholesaler,-23.5192237,-46.67286469999999,"Av. Marquês de São Vicente, 1354 - Barra Funda, São Paulo - SP, 01139-002, Brazil",grande ,barra funda,0,0,0,0,0,0,0,20,33,46,57,66,74,81,84,80,74,71,77,85,79,55,0,0,0,0,0,0,0,0,0,28,45,59,70,82,91,92,86,77,71,68,64,57,46,32,0,0,0,0,0,0,0,0,0,22,36,49,59,65,70,74,75,71,62,57,61,68,63,44,0,0,0,0,0,0,0,0,0,24,41,57,69,77,84,90,93,88,78,72,78,89,83,57,0,0,0,0,0,0,0,0,0,25,42,60,76,86,90,91,93,93,92,89,91,100,96,66,0,0,0,0,0,0,0,0,0,38,58,72,81,89,96,99,96,92,93,96,97,89,71,47,0,0,0,0,0,0,0,0,0,0,33,57,78,86,82,76,76,77,71,56,0,0,0,0,0,0
ChIJQ4_LN3H4zpQRAeq8LyuV3p4,SuperVille,-23.5261655,-46.6959707,"R. Coriolano, 1071 - Vila Romana, São Paulo - SP, 05047-000, Brazil",medio ,lapa,0,0,0,0,0,0,0,15,25,36,47,54,56,52,48,49,62,81,88,73,44,0,0,0,0,0,0,0,0,0,0,14,28,46,64,73,72,62,55,56,66,73,66,47,26,0,0,0,0,0,0,0,0,0,0,15,40,46,38,40,44,45,42,42,52,64,65,48,24,0,0,0,0,0,0,0,0,0,0,20,36,45,48,52,54,50,44,44,56,73,76,59,33,0,0,0,0,0,0,0,0,0,0,19,30,32,37,49,61,64,59,58,68,84,88,72,44,0,0,0,0,0,0,0,0,0,0,13,30,52,72,79,75,68,66,64,60,65,75,67,38,0,0,0,0,0,0,0,0,0,0,10,27,46,68,92,100,82,56,40,40,45,41,27,0,0,0,0
ChIJn8zS_nP4zpQRNu-_8K08Jjk,Sacolão Lapa,-23.5258059,-46.6944931,"R. Caio Graco, 322 - Vila Romana, São Paulo - SP, 05044-000, Brazil",medio,lapa,0,0,0,0,0,0,0,10,24,41,54,61,65,67,64,57,51,62,86,82,42,0,0,0,0,0,0,0,0,0,0,15,32,54,72,77,70,59,54,55,53,47,50,50,27,0,0,0,0,0,0,0,0,0,0,9,20,34,44,47,43,40,41,44,46,51,53,43,23,0,0,0,0,0,0,0,0,0,0,9,20,35,47,51,48,44,45,48,50,57,67,57,28,0,0,0,0,0,0,0,0,0,0,10,23,39,53,59,56,52,52,56,58,62,71,61,31,0,0,0,0,0,0,0,0,0,0,14,29,49,71,86,88,80,69,66,72,76,70,51,29,0,0,0,0,0,0,0,0,0,0,0,32,64,84,96,100,86,64,51,57,66,60,39,0,0,0,0
ChIJQT5eVXH4zpQRoeeZBllgP1k,Lapa Comercial Hortifruti Granjeiro,-23.5259437,-46.694753,"R. Coriolano, 948 - Vila Romana, São Paulo - SP, 02675-031, Brazil",medio,lapa,0,0,0,0,0,0,0,0,28,42,42,42,35,42,57,50,42,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,35,42,42,42,92,71,42,42,35,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,50,42,35,42,50,50,35,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,35,42,50,57,50,50,42,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,78,85,64,57,57,57,57,50,42,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,35,50,64,78,92,100,92,85,64,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,78,71,64,92,78,57,57,50,42,0,0,0,0,0
ChIJq2wXYGP4zpQRZoekQphKKpw,Carrefour Express,-23.5234116,-46.7043872,"R. Nossa Sra. da Lapa, 449 - Lapa, São Paulo - SP, 05072-000, Brazil",pequeno,lapa,0,0,0,0,0,0,0,48,28,20,28,30,30,23,20,17,23,30,35,30,23,0,0,0,0,0,0,0,0,0,0,38,46,41,28,25,33,43,46,43,41,51,64,56,28,0,0,0,0,0,0,0,0,0,0,71,23,15,23,25,25,25,25,28,30,33,30,28,20,0,0,0,0,0,0,0,0,0,0,69,17,7,17,33,38,33,25,25,35,53,64,61,48,0,0,0,0,0,0,0,0,0,0,51,100,20,7,17,30,38,38,30,23,23,51,64,35,0,0,0,0,0,0,0,0,0,0,20,46,43,28,30,43,53,56,53,53,56,53,38,17,0,0,0,0,0,0,0,0,0,0,0,0,17,33,48,53,43,30,20,0,0,0,0,0,0,0,0
ChIJa1lZ5Gb4zpQRQGt_Q4xTID8,Bom Baiano Distribuidora de Doces,-23.5173376,-46.70257199999999,"Rua Tenente Landy, 120 - Lapa, São Paulo - SP, 05068-020, Brazil",medio,lapa,0,0,0,0,0,0,0,21,33,35,36,48,64,70,64,58,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,40,43,52,62,62,52,45,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,37,41,53,64,65,58,53,54,49,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50,52,52,60,68,67,60,59,60,51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50,48,45,58,73,76,69,69,78,73,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48,65,75,89,100,86,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
